1	강남역 맛집으로 소문난 강남 토끼정에 다녀왔습니다.	강남역 맛집으로 소문난 강남 토끼정에 다녀왔습니다. 	강남역 맛집으로 소문난 강남 토끼정에 다녀왔습니다.	강남역 맛집으로 소문난 강남 토끼정에 다녀왔습니다 .
2	회사 동료 분들과 다녀왔는데 분위기도 좋고 음식도 맛있었어요	회사 동료 분들과 다녀왔는데 분위기도 좋고 음식도 맛있었어요 다만, 강남 토끼정이 강남 쉑쉑버거 골목길로 쭉 올라가야 하는데 다들 쉑쉑버거의 유혹에 넘어갈 뻔 했답니다 강남역 맛집 토끼정의 외부 모습. 	회사 동료 분들과 다녀왔는데 분위기도 좋고 음식도 맛있었어요 다만, 강남 토끼정이 강남 쉑쉑버거 골목길로 쭉 올라가야 하는데 다들 쉑쉑버거의 유혹에 넘어갈 뻔 했답니다 강남역 맛집 토끼정의 외부 모습.	회사 동료 분들과 다녀왔는데 분위기도 좋고 음식도 맛있었어요 다만, 강남 토끼정이 강남 쉑쉑버거 골목길로 쭉 올라가야 하는데 다들 쉑쉑버거의 유혹에 넘어갈 뻔 했답니다 강남역 맛집 토끼정의 외부 모습 .
3	다만, 강남 토끼정이 강남 쉑쉑버거 골목길로 쭉 올라가야 하는데 다들 쉑쉑버거의 유혹에 넘어갈 뻔 했답니다
4	강남역 맛집 토끼정의 외부 모습.
5	강남 토끼정은 4층 건물 독채로 이루어져 있습니다.	강남 토끼정은 4층 건물 독채로 이루어져 있습니다. 	강남 토끼정은 4층 건물 독채로 이루어져 있습니다.	강남 토끼정은 4층 건물 독채로 이루어져 있습니다 .
6	역시 토끼정 본 점 답죠?ㅎㅅㅎ	역시 토끼정 본 점 답죠?	역시 토끼정 본 점 답죠?ㅎㅅㅎ 건물은 크지만 간판이 없기 때문에 지나칠 수 있으니 조심하세요 강남 토끼정의 내부 인테리어.	역시 토끼정 본 점 답죠 ?
7	건물은 크지만 간판이 없기 때문에 지나칠 수 있으니 조심하세요	ㅎㅅㅎ 건물은 크지만 간판이 없기 때문에 지나칠 수 있으니 조심하세요 강남 토끼정의 내부 인테리어. 	 	ㅎㅅㅎ 건물은 크지만 간판이 없기 때문에 지나칠 수 있으니 조심하세요 강남 토끼정의 내부 인테리어 .
8	강남 토끼정의 내부 인테리어.
9	평일 저녁이었지만 강남역 맛집 답게 사람들이 많았어요.	평일 저녁이었지만 강남역 맛집 답게 사람들이 많았어요. 	평일 저녁이었지만 강남역 맛집 답게 사람들이 많았어요.	평일 저녁이었지만 강남역 맛집 답게 사람들이 많았어요 .
10	전체적으로 편안하고 아늑한 공간으로 꾸며져 있었습니다ㅎㅎ	전체적으로 편안하고 아늑한 공간으로 꾸며져 있었습니다ㅎㅎ 한 가지 아쉬웠던 건 조명이 너무 어두워 눈이 침침했던… 	전체적으로 편안하고 아늑한 공간으로 꾸며져 있었습니다ㅎㅎ 한 가지 아쉬웠던 건 조명이 너무 어두워 눈이 침침했던…	전체적으로 편안하고 아늑한 공간으로 꾸며져 있었습니다ㅎㅎ 한 가지 아쉬웠던 건 조명이 너무 어두워 눈이 침침했던 …
11	한 가지 아쉬웠던 건 조명이 너무 어두워 눈이 침침했던…
12	저희는 3층에 자리를 잡고 음식을 주문했습니다.	저희는 3층에 자리를 잡고 음식을 주문했습니다. 	저희는 3층에 자리를 잡고 음식을 주문했습니다.	저희는 3층에 자리를 잡고 음식을 주문했습니다 .
13	총 5명이서 먹고 싶은 음식 하나씩 골라 다양하게 주문했어요	총 5명이서 먹고 싶은 음식 하나씩 골라 다양하게 주문했어요 첫 번째 준비된 메뉴는 토끼정 고로케와 깻잎 불고기 사라다를 듬뿍 올려 먹는 맛있는 밥입니다. 	총 5명이서 먹고 싶은 음식 하나씩 골라 다양하게 주문했어요 첫 번째 준비된 메뉴는 토끼정 고로케와 깻잎 불고기 사라다를 듬뿍 올려 먹는 맛있는 밥입니다.	총 5명이서 먹고 싶은 음식 하나씩 골라 다양하게 주문했어요 첫 번째 준비된 메뉴는 토끼정 고로케와 깻잎 불고기 사라다를 듬뿍 올려 먹는 맛있는 밥입니다 .
14	첫 번째 준비된 메뉴는 토끼정 고로케와 깻잎 불고기 사라다를 듬뿍 올려 먹는 맛있는 밥입니다.
15	여러가지 메뉴를 한 번에 시키면 준비되는 메뉴부터 가져다 주더라구요.	여러가지 메뉴를 한 번에 시키면 준비되는 메뉴부터 가져다 주더라구요. 	여러가지 메뉴를 한 번에 시키면 준비되는 메뉴부터 가져다 주더라구요.	여러가지 메뉴를 한 번에 시키면 준비되는 메뉴부터 가져다 주더라구요 .
16	토끼정 고로케 금방 튀겨져 나와 겉은 바삭하고 속은 촉촉해 맛있었어요!	토끼정 고로케 금방 튀겨져 나와 겉은 바삭하고 속은 촉촉해 맛있었어요! 	토끼정 고로케 금방 튀겨져 나와 겉은 바삭하고 속은 촉촉해 맛있었어요!	토끼정 고로케 금방 튀겨져 나와 겉은 바삭하고 속은 촉촉해 맛있었어요 !
